"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRAC",1.64002905065331e-120,1.61011381959739,0.973,0.59,2.61519032417176e-116,"0","TRAC"
"CCL5",9.56038822547094e-120,1.47147103680871,0.977,0.589,1.5244995064336e-115,"0","CCL5"
"TRBC2",8.5732106880215e-119,1.58658477887627,0.993,0.63,1.36708417631191e-114,"0","TRBC2"
"TRBC1",5.90660220299684e-108,1.45350518282643,0.93,0.463,9.41866787289877e-104,"0","TRBC1"
"LTB",3.69785523501026e-104,1.56640452774046,0.873,0.361,5.89659995774735e-100,"0","LTB"
"CD3D",2.06236670119587e-103,1.23554172266732,0.89,0.353,3.28864994172693e-99,"0","CD3D"
"IL7R",4.88534166871116e-103,1.37468226197613,0.937,0.491,7.79016582492681e-99,"0","IL7R"
"CORO1A",2.27631438690606e-100,1.23599816323114,0.983,0.692,3.62981092136041e-96,"0","CORO1A"
"CXCR4",4.06740666073065e-96,1.17199985812153,0.997,0.871,6.48588666120109e-92,"0","CXCR4"
"MS4A1",1.44558668579745e-94,0.868011096787293,0.513,0.088,2.30513252917262e-90,"0","MS4A1"
"SELL",1.87658636079294e-92,1.08388230104321,0.767,0.253,2.99240461092043e-88,"0","SELL"
"PTPRC",1.02107696754677e-91,1.20659664669588,0.99,0.755,1.62820933245008e-87,"0","PTPRC"
"IKZF1",6.79422237562622e-90,1.19282995155124,0.95,0.579,1.08340670001736e-85,"0","IKZF1"
"CD37",1.73298356413985e-88,1.266877398034,0.95,0.592,2.7634155913774e-84,"0","CD37"
"RAC2",1.42275164210678e-85,1.12328732478889,0.873,0.399,2.26871976850347e-81,"0","RAC2"
"CCR7",2.02100473971643e-84,1.03640274004819,0.623,0.165,3.22269415795183e-80,"0","CCR7"
"CD3E",1.04602057668603e-82,0.999707207824492,0.73,0.241,1.66798441158355e-78,"0","CD3E"
"RIPOR2",2.82612848778349e-81,0.870924704290578,0.647,0.184,4.50654448661956e-77,"0","RIPOR2"
"IRF8",4.76217159498567e-81,1.10691803449053,0.9,0.443,7.59375882536415e-77,"0","IRF8"
"LIMD2",2.04355629995139e-80,1.04140765065059,0.927,0.596,3.25865487590248e-76,"0","LIMD2"
"HLA-F",2.04212801953996e-78,1.04289949283478,0.993,0.754,3.25637733995841e-74,"0","HLA-F"
"DUSP2",2.63208621994316e-77,0.776351128499582,0.64,0.181,4.19712468632136e-73,"0","DUSP2"
"EVL",4.82833811490721e-77,1.0218800590234,0.977,0.713,7.69926795803104e-73,"0","EVL"
"ACAP1",1.65631539150177e-76,0.990014062595622,0.807,0.339,2.64116052328872e-72,"0","ACAP1"
"CCL19",5.39852281244111e-76,1.77369432270941,0.903,0.515,8.6084844767186e-72,"0","CCL19"
"ETS1",3.66918423328289e-75,1.05226963621075,0.957,0.646,5.85088117839289e-71,"0","ETS1"
"IL2RG",4.86908583875235e-75,1.07360587413467,0.797,0.349,7.7642442784745e-71,"0","IL2RG"
"HLA-DPA1",1.00753944295842e-72,0.919794869731974,1,0.868,1.6066223957415e-68,"0","HLA-DPA1"
"HLA-DPB1",1.89383385363459e-72,0.957583872833873,1,0.862,3.01990746300571e-68,"0","HLA-DPB1"
"JAK3",5.02328333323456e-72,0.94697089429066,0.833,0.39,8.01012760317583e-68,"0","JAK3"
"IDO1",1.2011044910169e-71,1.1152414015212,0.653,0.218,1.91528122137554e-67,"0","IDO1"
"AKNA",2.74824278111463e-71,1.00318110601168,0.953,0.709,4.38234793876539e-67,"0","AKNA"
"CLEC2D",4.81529015970025e-71,0.995382872015487,0.89,0.532,7.67846168865801e-67,"0","CLEC2D"
"WIPF1",1.02612754070717e-70,0.94123549673602,0.99,0.787,1.63626297641166e-66,"0","WIPF1"
"RHOF",1.09007521933589e-70,0.848572418186431,0.707,0.255,1.73823394475301e-66,"0","RHOF"
"LCP1",1.24879583666141e-70,0.983486594977734,0.963,0.65,1.99132984114028e-66,"0","LCP1"
"CD96",1.55250083521869e-69,0.792097247959274,0.693,0.238,2.47561783183972e-65,"0","CD96"
"CD8A",7.36510547481312e-69,0.764862458560626,0.59,0.171,1.1744397190137e-64,"0","CD8A"
"LSP1",2.07796024764292e-68,0.936152443741883,0.993,0.79,3.3135154108914e-64,"0","LSP1"
"CYTIP",2.84970408945939e-68,0.95204959562542,0.883,0.456,4.54413814105194e-64,"0","CYTIP"
"CCR4",7.60455537741773e-68,0.687725203316679,0.527,0.13,1.21262240048303e-63,"0","CCR4"
"ARHGAP45",1.33744923525617e-67,1.00653279402686,0.873,0.48,2.13269655053948e-63,"0","ARHGAP45"
"SEPTIN1",1.48108389340178e-67,0.86818189315152,0.683,0.239,2.36173637641848e-63,"0","SEPTIN1"
"LCK",1.57808783330355e-67,0.790647299683598,0.633,0.203,2.51641885898584e-63,"0","LCK"
"IL2RB",2.23276893665058e-67,0.803903716560567,0.707,0.26,3.56037334638301e-63,"0","IL2RB"
"BIRC3",5.58445407720345e-67,1.17959181293126,0.88,0.541,8.90497047150862e-63,"0","BIRC3"
"CD52",5.8988759595825e-67,0.925544796708808,0.887,0.48,9.40634760515026e-63,"0","CD52"
"TRIM22",4.74178492566092e-66,0.878028915477386,0.993,0.833,7.56125024245891e-62,"0","TRIM22"
"RASGRP2",5.49302540974225e-66,0.72501238956009,0.593,0.175,8.75917831837499e-62,"0","RASGRP2"
"GBP5",2.23872597017154e-65,1.0023220245887,0.87,0.515,3.56987243203554e-61,"0","GBP5"
"TRAJ31",3.56273649524766e-65,0.6440654873866,0.553,0.149,5.68113961532191e-61,"0","TRAJ31"
"TMC8",3.80070406014976e-65,0.933423930702441,0.787,0.346,6.06060269431481e-61,"0","TMC8"
"TRAJ5",7.02316211974042e-65,0.728483422404894,0.62,0.193,1.11991343161381e-60,"0","TRAJ5"
"CD3G",1.11175930963357e-64,0.665435236188214,0.587,0.169,1.77281139514169e-60,"0","CD3G"
"COTL1",1.31228550661964e-63,0.892531636346239,0.983,0.838,2.09257046885568e-59,"0","COTL1"
"MAP4K1",1.43456730837763e-63,0.761418503929548,0.657,0.229,2.28756102993896e-59,"0","MAP4K1"
"TIGIT",1.78610354264602e-63,0.88285810856743,0.677,0.247,2.84812070910334e-59,"0","TIGIT"
"LAMP3",6.84765440668132e-63,1.12087860388041,0.663,0.254,1.0919269716894e-58,"0","LAMP3"
