"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND5",1.14413704807519e-79,0.970565750712032,1,0.814,2.1624190208621e-75,"0","MT-ND5"
"MTRNR2L12",2.51504298718178e-64,0.899393707662492,0.993,0.758,4.75343124577357e-60,"0","MTRNR2L12"
"MT-ATP8",2.6388436002584e-21,0.541033693728374,0.773,0.593,4.98741440448837e-17,"0","MT-ATP8"
"MT-ND4L",5.5268804294844e-21,0.594925442061052,0.632,0.443,1.04458040117255e-16,"0","MT-ND4L"
"MTRNR2L8",5.99863163610263e-21,0.512752856719786,0.589,0.384,1.1337413792234e-16,"0","MTRNR2L8"
"PLSCR1",7.81587216355342e-11,0.335797916831279,0.823,0.673,1.4771998389116e-06,"0","PLSCR1"
"HSPH1",1.23866779887742e-10,0.349638246324728,0.886,0.753,2.34108213987832e-06,"0","HSPH1"
"PERP",1.95299279874217e-08,0.318661050811706,0.779,0.66,0.000369115638962269,"0","PERP"
"GGH",2.50582056290355e-08,0.275252074833497,0.903,0.768,0.000473600086388771,"0","GGH"
"SYPL1",1.20675353422791e-07,0.272480311979238,0.816,0.709,0.00228076417969074,"0","SYPL1"
"CHI3L1",3.60245304847424e-105,1.63795123425571,0.654,0.157,6.80863626161631e-101,"1","CHI3L1"
"MMP9",4.35881881604169e-100,1.85981299142374,0.808,0.286,8.23816756231879e-96,"1","MMP9"
"LAPTM5",2.04077868578295e-99,1.7360560819648,0.892,0.402,3.85707171612978e-95,"1","LAPTM5"
"LILRB4",4.78068527884791e-92,0.912030453233021,0.507,0.096,9.03549517702255e-88,"1","LILRB4"
"APOC1",8.09789655841153e-91,2.2205757892954,0.955,0.626,1.53050244953978e-86,"1","APOC1"
"TYROBP",4.37828775386512e-89,1.45450485990438,0.741,0.27,8.27496385480509e-85,"1","TYROBP"
"SPP1",2.77960021508832e-87,2.69493972965375,0.888,0.537,5.25344440651693e-83,"1","SPP1"
"LYZ",3.06701565914084e-85,2.11566167884178,0.878,0.451,5.79665959577619e-81,"1","LYZ"
"APOE",1.59264350187872e-80,1.95385950317361,0.948,0.646,3.01009621855078e-76,"1","APOE"
"APOC2",1.83927741764157e-79,1.1431630249712,0.57,0.148,3.47623431934257e-75,"1","APOC2"
"FCER1G",1.80754489663838e-73,1.25616599257718,0.682,0.243,3.41625985464655e-69,"1","FCER1G"
"IFI30",2.10910001254018e-71,1.63865125329921,0.927,0.686,3.98619902370094e-67,"1","IFI30"
"VIM",3.80884719099579e-71,1.48179211216684,0.969,0.697,7.19872119098205e-67,"1","VIM"
"LCP1",2.27802448636229e-66,0.974861680950718,0.58,0.178,4.30546627922472e-62,"1","LCP1"
"CD68",2.01544802295707e-65,1.33102135960463,0.762,0.348,3.80919676338885e-61,"1","CD68"
"ITGB2",5.42791993323028e-62,1.31637387756993,0.622,0.231,1.02587686738052e-57,"1","ITGB2"
"CXCL10",7.34509831539848e-62,1.25083488170288,0.801,0.394,1.38822358161031e-57,"1","CXCL10"
"GPNMB",1.38552256417012e-59,1.42115273941079,0.794,0.41,2.61863764628152e-55,"1","GPNMB"
"HLA-DRB1",8.84125047921192e-58,1.27419950259513,0.986,0.843,1.67099634057105e-53,"1","HLA-DRB1"
"LSP1",1.63092951825531e-57,0.736660369851787,0.535,0.163,3.08245678950254e-53,"1","LSP1"
"CCL2",2.35278197425258e-57,1.17640949304128,0.521,0.163,4.44675793133738e-53,"1","CCL2"
"SRGN",8.80769092250053e-57,1.00660337007526,0.626,0.241,1.6646535843526e-52,"1","SRGN"
"HLA-DQA1",2.47964857578921e-53,1.08797082420623,0.57,0.21,4.6865358082416e-49,"1","HLA-DQA1"
"SH3BGRL3",1.13123931388235e-51,1.04425781767557,0.962,0.852,2.13804230323764e-47,"1","SH3BGRL3"
"C1QB",2.75804941583517e-51,1.28900374825992,0.755,0.398,5.21271339592847e-47,"1","C1QB"
"LGALS1",1.51075680440369e-50,1.0182892856771,0.958,0.747,2.85533036032297e-46,"1","LGALS1"
"CAPG",3.20840586793102e-48,1.1133193629567,0.86,0.685,6.06388709038963e-44,"1","CAPG"
"MMP12",1.12721223445092e-47,0.922551824448645,0.545,0.194,2.13043112311224e-43,"1","MMP12"
"FBP1",2.29845668751422e-46,1.09731753184237,0.657,0.328,4.34408313940188e-42,"1","FBP1"
"CTSL",5.57898827268519e-45,1.01637639119728,0.605,0.263,1.0544287835375e-40,"1","CTSL"
"ARHGDIB",1.36042847455994e-41,0.886118724885296,0.573,0.246,2.57120981691829e-37,"1","ARHGDIB"
"C1QC",6.99695050782815e-41,0.882254727067022,0.577,0.248,1.32242364597952e-36,"1","C1QC"
"COL3A1",1.70367000400186e-40,0.674313969435264,0.976,0.788,3.21993630756351e-36,"1","COL3A1"
"CXCL9",2.01227871523507e-40,1.04852430048025,0.605,0.29,3.80320677179428e-36,"1","CXCL9"
"GM2A",3.88902767108859e-39,0.951339437631964,0.643,0.315,7.35026229835743e-35,"1","GM2A"
"HLA-DPA1",1.17246594870991e-38,1.08821734263012,0.825,0.59,2.21596064306174e-34,"1","HLA-DPA1"
"TYMP",2.17307441095512e-38,0.910788463180217,0.85,0.614,4.10711063670517e-34,"1","TYMP"
"HLA-DPB1",2.24280640875155e-37,1.08660583777942,0.752,0.479,4.23890411254043e-33,"1","HLA-DPB1"
"CTSZ",2.42194444413644e-35,0.943028716021507,0.839,0.678,4.57747499941788e-31,"1","CTSZ"
"CXCL11",3.23606045846982e-34,0.889771759091522,0.65,0.345,6.11615426650797e-30,"1","CXCL11"
"IFI6",3.34593854718923e-34,0.924244571121515,0.923,0.735,6.32382385418765e-30,"1","IFI6"
"HLA-DQB1",1.32722813034434e-33,0.940459468964397,0.822,0.665,2.50846116635081e-29,"1","HLA-DQB1"
"COL1A1",1.47833025373298e-33,0.495137341485175,0.986,0.819,2.79404417955534e-29,"1","COL1A1"
"PLAUR",5.1663714926662e-31,0.720206785949607,0.545,0.257,9.76444212113913e-27,"1","PLAUR"
"A2M",1.05269081059109e-30,0.731701909558512,0.724,0.432,1.98958563201717e-26,"1","A2M"
"C1QA",4.47633435556125e-30,0.950966635787826,0.706,0.432,8.46027193201076e-26,"1","C1QA"
"CTSS",6.18545622220212e-29,0.738301606398792,0.923,0.82,1.1690512259962e-24,"1","CTSS"
"TGM2",1.73260443035415e-28,0.667013983711244,0.671,0.409,3.27462237336935e-24,"1","TGM2"
"COL1A2",7.17101068576979e-28,0.406411578000164,0.986,0.833,1.35532101961049e-23,"1","COL1A2"
"SAMHD1",1.37831435287065e-27,0.640414496172927,0.612,0.351,2.60501412692553e-23,"1","SAMHD1"
"LGMN",2.501601597887e-27,0.676824539550285,0.678,0.41,4.72802702000643e-23,"1","LGMN"
"COL6A2",2.88625464610334e-27,0.787283647016792,0.787,0.537,5.45502128113531e-23,"1","COL6A2"
"WARS",2.92999531264531e-27,0.782647896174215,0.682,0.448,5.53769114089964e-23,"1","WARS"
"CTSK",3.32954782125854e-27,0.690587482386882,0.503,0.226,6.29284538217864e-23,"1","CTSK"
