"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLN",1.1210446370015e-139,1.47931944300089,1,0.77,2.34858851451815e-135,"0","SLN"
"TMEM158",2.20217849226599e-119,1.12373409503663,0.994,0.851,4.61356394129724e-115,"0","TMEM158"
"NNMT",2.28598047412251e-114,1.21464668033554,1,0.754,4.78912909328666e-110,"0","NNMT"
"SCG2",1.1235220829953e-108,1.13407467037238,0.997,0.885,2.35377876387514e-104,"0","SCG2"
"CALB1",3.75465594623121e-102,1.21569805137647,0.922,0.457,7.86600420735438e-98,"0","CALB1"
"PEG10",2.54147392665172e-93,1.08319562543285,0.954,0.692,5.32438787633535e-89,"0","PEG10"
"CAVIN3",1.95211012265791e-88,0.912950385172501,0.864,0.374,4.08967070696832e-84,"0","CAVIN3"
"AC092958.1",3.24737423572416e-83,0.883858737663206,0.962,0.635,6.80324902384212e-79,"0","AC092958.1"
"SV2B",6.63944508772435e-82,0.898686747840047,0.899,0.455,1.39096374587825e-77,"0","SV2B"
"FABP5",7.15148702438706e-81,0.977025661405893,0.968,0.718,1.49823653160909e-76,"0","FABP5"
"UNC5D",2.75829931397986e-77,0.901143948256861,0.916,0.527,5.7786370627878e-73,"0","UNC5D"
"DIRAS3",8.76977055229735e-75,0.778364663823663,0.798,0.352,1.83726693070629e-70,"0","DIRAS3"
"CHRNA9",1.60852303105007e-73,0.781374414978643,0.887,0.444,3.3698557500499e-69,"0","CHRNA9"
"TNFRSF12A",5.59307339712638e-71,0.908702253683688,0.968,0.821,1.17174887669798e-66,"0","TNFRSF12A"
"DNAH9",1.58222864467061e-69,0.568014998534727,0.645,0.213,3.31476901058492e-65,"0","DNAH9"
"OCIAD2",2.98149526227869e-69,0.764040580785717,0.876,0.444,6.24623257447387e-65,"0","OCIAD2"
"RCAN1",4.62561775773279e-69,0.821743339809793,0.815,0.388,9.69066920245019e-65,"0","RCAN1"
"DHCR7",5.42134411801313e-69,0.917058620715362,0.884,0.574,1.13577159272375e-64,"0","DHCR7"
"ELMOD1",1.23774250439129e-66,0.779940547302182,0.945,0.677,2.59307054669975e-62,"0","ELMOD1"
"ZNF436",3.30415999812099e-63,0.734030035298284,0.977,0.813,6.92221519606348e-59,"0","ZNF436"
"HS6ST1",1.53921555722917e-60,0.696923284319174,0.96,0.728,3.22465659239511e-56,"0","HS6ST1"
"CORO2B",3.41096058720844e-60,0.851518623505594,0.931,0.723,7.14596243020168e-56,"0","CORO2B"
"PLXNA1",1.90213022580312e-59,0.717063065677092,0.954,0.692,3.98496282305753e-55,"0","PLXNA1"
"NOMO1",1.70511848192282e-57,0.689017853408281,0.835,0.448,3.5722232196283e-53,"0","NOMO1"
"PDPN",4.69300085463661e-56,0.606684386097173,0.991,0.879,9.83183679046369e-52,"0","PDPN"
"CITED1",5.59319635570493e-55,0.515170007290501,0.618,0.231,1.17177463652018e-50,"0","CITED1"
"CYSTM1",4.45533299540472e-53,0.641055723803296,0.965,0.852,9.33392262537289e-49,"0","CYSTM1"
"TUBA1C",9.4188814189462e-53,0.654561220260924,0.948,0.745,1.97325565726923e-48,"0","TUBA1C"
"CROT",1.75031858528844e-52,0.652954495473655,0.829,0.448,3.66691743617929e-48,"0","CROT"
"CFI",4.24763465236884e-52,0.66281313102616,0.936,0.71,8.89879459671273e-48,"0","CFI"
"LPL",9.04899075920746e-52,0.717787692576127,0.957,0.799,1.89576356405396e-47,"0","LPL"
"CA11",3.65874792723124e-51,0.658024799513452,0.939,0.713,7.66507690754944e-47,"0","CA11"
"ACP6",3.17216833073836e-48,0.577358114629435,0.746,0.369,6.64569265289686e-44,"0","ACP6"
"S100A16",1.10471366874942e-46,0.601807473691844,0.962,0.847,2.31437513603003e-42,"0","S100A16"
"LPCAT1",1.99744019771137e-46,0.642136927639023,0.882,0.569,4.18463721420532e-42,"0","LPCAT1"
"NRXN3",3.38796894283606e-46,0.624006474412225,0.734,0.369,7.09779493524154e-42,"0","NRXN3"
"ECI2",3.15972955898538e-45,0.587928400059522,0.945,0.734,6.61963342607436e-41,"0","ECI2"
"SLC10A4",4.46339540255591e-45,0.543214843432612,0.986,0.843,9.35081336835464e-41,"0","SLC10A4"
"NPB",1.26108745556674e-43,0.443733646608658,0.535,0.202,2.64197821941233e-39,"0","NPB"
"DHCR24",3.28917750231663e-42,0.576291850333572,0.604,0.271,6.89082686735333e-38,"0","DHCR24"
"SLAIN1",4.00257117596312e-42,0.556921474399986,0.832,0.486,8.38538661364273e-38,"0","SLAIN1"
"MLLT11",4.45654273003806e-42,0.565321909838513,0.714,0.361,9.33645701942973e-38,"0","MLLT11"
"C6orf141",1.39962942775878e-41,0.397132635988341,0.514,0.192,2.93222365115464e-37,"0","C6orf141"
"CNR1",2.09387433430301e-41,0.578179686315044,0.942,0.801,4.3866667303648e-37,"0","CNR1"
